sent_id,sentence,entity
66,"March 25 : Triangle Shirtwaist Factory fire in New York City results in the deaths of 146 workers and leads to sweeping workplace safety reforms.
April – November : Agadir Crisis .
September 29 : The Italo-Turkish war which led to the capture of Libya by Italy , begins.
October 10 : 1911 Revolution , which overthrew the Qing dynasty of China, begins.
",China
66,"March 25 : Triangle Shirtwaist Factory fire in New York City results in the deaths of 146 workers and leads to sweeping workplace safety reforms.
April – November : Agadir Crisis .
September 29 : The Italo-Turkish war which led to the capture of Libya by Italy , begins.
October 10 : 1911 Revolution , which overthrew the Qing dynasty of China, begins.
",New York City
67,"November 3 : Swiss race car driver and automotive engineer Louis Chevrolet co-founds the Chevrolet Motor Company in Detroit with his brother Arthur Chevrolet , William C. Durant and others.
",Swiss
67,"November 3 : Swiss race car driver and automotive engineer Louis Chevrolet co-founds the Chevrolet Motor Company in Detroit with his brother Arthur Chevrolet , William C. Durant and others.
",Detroit
68,"December 12 : New Delhi becomes the capital of British India .
",New Delhi
68,"December 12 : New Delhi becomes the capital of British India .
",India
68,"December 12 : New Delhi becomes the capital of British India .
",British
69,"December 14 : Roald Amundsen first reaches the South Pole .
",the South Pole
72,February 12 : End of the Chinese Empire .,Chinese
73,"Republic of China established.
",China
74,"February 14 : Arizona becomes the last state to be admitted to the continental Union.
",Arizona
76,"Captain Scott and his companions die in a blizzard on their way back from the South Pole.
March 30 : Morocco becomes a protectorate of France .
",Morocco
76,"Captain Scott and his companions die in a blizzard on their way back from the South Pole.
March 30 : Morocco becomes a protectorate of France .
",the South Pole
76,"Captain Scott and his companions die in a blizzard on their way back from the South Pole.
March 30 : Morocco becomes a protectorate of France .
",France
78,"July 30 : Emperor Meiji dies, ending the Meiji era ; his son, the Emperor Taishō , becomes Emperor of Japan .
",Japan
78,"July 30 : Emperor Meiji dies, ending the Meiji era ; his son, the Emperor Taishō , becomes Emperor of Japan .
",Meiji
79,"August 25 : The Kuomintang , the Chinese nationalist party, is founded.
October 8 : The First Balkan War begins.
",Chinese
80,"Banana Wars : United States occupation of Nicaragua begins.
",United States
80,"Banana Wars : United States occupation of Nicaragua begins.
",Nicaragua
81,"1913
January 23 : In the 1913 Ottoman coup d'état , Ismail Enver comes to power.
February 9 – 19 : Ten Tragic Days in Mexico City .
",Mexico City
81,"1913
January 23 : In the 1913 Ottoman coup d'état , Ismail Enver comes to power.
February 9 – 19 : Ten Tragic Days in Mexico City .
",Ottoman
82,"March 4 : Woodrow Wilson is inaugurated as President of the United States.
",the United States
83,"May 29 : Igor Stravinsky 's The Rite of Spring infamously premiers in Paris which causes a riot.
",Paris
89,"Yuan Shikai uses military force to dissolve China 's parliament and rules as a dictator.
",China
91,"1914
June 28 : Gavrilo Princip assassinates Archduke Franz Ferdinand of Austria in Sarajevo , triggering the start of World War I that day.
",Sarajevo
91,"1914
June 28 : Gavrilo Princip assassinates Archduke Franz Ferdinand of Austria in Sarajevo , triggering the start of World War I that day.
",Austria
94,"The Race to the Sea leaves Germany and the Allies entrenched along the Western Front .
",Germany
94,"The Race to the Sea leaves Germany and the Allies entrenched along the Western Front .
",Sea
95,"December 19 : The United Kingdom establishes the Sultanate of Egypt as a protectorate.
",The United Kingdom
95,"December 19 : The United Kingdom establishes the Sultanate of Egypt as a protectorate.
",Egypt
96,"December 25 : The Christmas truce is celebrated by the Germans and the British along the Western Front .
",Germans
96,"December 25 : The Christmas truce is celebrated by the Germans and the British along the Western Front .
",British
97,"1915
April 22 : Second Battle of Ypres begins, first widespread use of poison gas.
",Ypres
98,"April 24 : The deportation of Armenian leaders and notables in Constantinople signals the onset of the Armenian genocide .
",Armenian
100,"July 28 : In the Banana Wars , the United States occupation of Haiti begins.
",Haiti
100,"July 28 : In the Banana Wars , the United States occupation of Haiti begins.
",the United States
101,"The first large scale use of poison gas by both sides in World War I occurs, first by the Germans at the Battle of Humin-Bolimów on the eastern front, and at the Second Battle of Ypres on the western front, and then by the British at the Battle of Loos .
",Germans
101,"The first large scale use of poison gas by both sides in World War I occurs, first by the Germans at the Battle of Humin-Bolimów on the eastern front, and at the Second Battle of Ypres on the western front, and then by the British at the Battle of Loos .
",British
102,"1916
January 9 : The Allies' Gallipoli campaign ends in failure; heavy losses of Australian troops.
",Australian
105,"March 7 : Bayerische Flugzeugwerke, later to become BMW , is founded in Germany.
",Germany
106,"April 24 – 30 : Easter Rising in Ireland.
",Ireland
107,"April 30 : The first nationwide implementation of daylight saving time in the German Empire and Austria-Hungary .
June – September : Brusilov offensive by Russia.
June 6 : The Warlord Era begins in China after the death of Yuan Shikai .
June 10 : The Arab Revolt begins.
July – November : Battle of the Somme on Western Front; massive casualties.
",Hungary
107,"April 30 : The first nationwide implementation of daylight saving time in the German Empire and Austria-Hungary .
June – September : Brusilov offensive by Russia.
June 6 : The Warlord Era begins in China after the death of Yuan Shikai .
June 10 : The Arab Revolt begins.
July – November : Battle of the Somme on Western Front; massive casualties.
",Russia
107,"April 30 : The first nationwide implementation of daylight saving time in the German Empire and Austria-Hungary .
June – September : Brusilov offensive by Russia.
June 6 : The Warlord Era begins in China after the death of Yuan Shikai .
June 10 : The Arab Revolt begins.
July – November : Battle of the Somme on Western Front; massive casualties.
",Austria
107,"April 30 : The first nationwide implementation of daylight saving time in the German Empire and Austria-Hungary .
June – September : Brusilov offensive by Russia.
June 6 : The Warlord Era begins in China after the death of Yuan Shikai .
June 10 : The Arab Revolt begins.
July – November : Battle of the Somme on Western Front; massive casualties.
",German
107,"April 30 : The first nationwide implementation of daylight saving time in the German Empire and Austria-Hungary .
June – September : Brusilov offensive by Russia.
June 6 : The Warlord Era begins in China after the death of Yuan Shikai .
June 10 : The Arab Revolt begins.
July – November : Battle of the Somme on Western Front; massive casualties.
",Empire
107,"April 30 : The first nationwide implementation of daylight saving time in the German Empire and Austria-Hungary .
June – September : Brusilov offensive by Russia.
June 6 : The Warlord Era begins in China after the death of Yuan Shikai .
June 10 : The Arab Revolt begins.
July – November : Battle of the Somme on Western Front; massive casualties.
",China
110,"The Pact is agreed upon by both the Congress and the Muslim League at the Indian city of Lucknow .
December 6 : Liberal David Lloyd George becomes Prime Minister of the United Kingdom.
",the United Kingdom
110,"The Pact is agreed upon by both the Congress and the Muslim League at the Indian city of Lucknow .
December 6 : Liberal David Lloyd George becomes Prime Minister of the United Kingdom.
",Indian
110,"The Pact is agreed upon by both the Congress and the Muslim League at the Indian city of Lucknow .
December 6 : Liberal David Lloyd George becomes Prime Minister of the United Kingdom.
",Lucknow
111,"December 30 : Grigori Rasputin is assassinated in Russia.
",Russia
112,"Market Square , one of the earliest shopping malls, opens in the Chicago metropolitan area.
",Chicago
113,"1917
March 8 : Russian Revolution ends the Russian Empire ; beginning of Russian Civil War .
April 6 : USA joins the Entente for the last 17 months of World War I.
May – October : Apparitions of Our Lady of the Rosary in Fátima, Portugal .
June 4 : The first Pulitzer Prizes announced.
July – November :",Russian
113,"1917
March 8 : Russian Revolution ends the Russian Empire ; beginning of Russian Civil War .
April 6 : USA joins the Entente for the last 17 months of World War I.
May – October : Apparitions of Our Lady of the Rosary in Fátima, Portugal .
June 4 : The first Pulitzer Prizes announced.
July – November :",the Russian Empire
113,"1917
March 8 : Russian Revolution ends the Russian Empire ; beginning of Russian Civil War .
April 6 : USA joins the Entente for the last 17 months of World War I.
May – October : Apparitions of Our Lady of the Rosary in Fátima, Portugal .
June 4 : The first Pulitzer Prizes announced.
July – November :",Fátima
113,"1917
March 8 : Russian Revolution ends the Russian Empire ; beginning of Russian Civil War .
April 6 : USA joins the Entente for the last 17 months of World War I.
May – October : Apparitions of Our Lady of the Rosary in Fátima, Portugal .
June 4 : The first Pulitzer Prizes announced.
July – November :",USA
113,"1917
March 8 : Russian Revolution ends the Russian Empire ; beginning of Russian Civil War .
April 6 : USA joins the Entente for the last 17 months of World War I.
May – October : Apparitions of Our Lady of the Rosary in Fátima, Portugal .
June 4 : The first Pulitzer Prizes announced.
July – November :",Portugal
116,"Battle of Caporetto .
November 1 – 2 : The Third Battle of Gaza ends in British victory.
November 7 ( O.S. October 25 ): October Revolution in the Russian Republic .
November 8 : The Ukrainian–Soviet War begins.
November 26 : The National Hockey League is formed in Montreal, Canada.
December 6 : Independence of Finland .
",the Russian Republic
116,"Battle of Caporetto .
November 1 – 2 : The Third Battle of Gaza ends in British victory.
November 7 ( O.S. October 25 ): October Revolution in the Russian Republic .
November 8 : The Ukrainian–Soviet War begins.
November 26 : The National Hockey League is formed in Montreal, Canada.
December 6 : Independence of Finland .
",Soviet War
116,"Battle of Caporetto .
November 1 – 2 : The Third Battle of Gaza ends in British victory.
November 7 ( O.S. October 25 ): October Revolution in the Russian Republic .
November 8 : The Ukrainian–Soviet War begins.
November 26 : The National Hockey League is formed in Montreal, Canada.
December 6 : Independence of Finland .
",O.S.
116,"Battle of Caporetto .
November 1 – 2 : The Third Battle of Gaza ends in British victory.
November 7 ( O.S. October 25 ): October Revolution in the Russian Republic .
November 8 : The Ukrainian–Soviet War begins.
November 26 : The National Hockey League is formed in Montreal, Canada.
December 6 : Independence of Finland .
",British
116,"Battle of Caporetto .
November 1 – 2 : The Third Battle of Gaza ends in British victory.
November 7 ( O.S. October 25 ): October Revolution in the Russian Republic .
November 8 : The Ukrainian–Soviet War begins.
November 26 : The National Hockey League is formed in Montreal, Canada.
December 6 : Independence of Finland .
",Ukrainian
116,"Battle of Caporetto .
November 1 – 2 : The Third Battle of Gaza ends in British victory.
November 7 ( O.S. October 25 ): October Revolution in the Russian Republic .
November 8 : The Ukrainian–Soviet War begins.
November 26 : The National Hockey League is formed in Montreal, Canada.
December 6 : Independence of Finland .
",Canada
116,"Battle of Caporetto .
November 1 – 2 : The Third Battle of Gaza ends in British victory.
November 7 ( O.S. October 25 ): October Revolution in the Russian Republic .
November 8 : The Ukrainian–Soviet War begins.
November 26 : The National Hockey League is formed in Montreal, Canada.
December 6 : Independence of Finland .
",Finland
116,"Battle of Caporetto .
November 1 – 2 : The Third Battle of Gaza ends in British victory.
November 7 ( O.S. October 25 ): October Revolution in the Russian Republic .
November 8 : The Ukrainian–Soviet War begins.
November 26 : The National Hockey League is formed in Montreal, Canada.
December 6 : Independence of Finland .
",Montreal
116,"Battle of Caporetto .
November 1 – 2 : The Third Battle of Gaza ends in British victory.
November 7 ( O.S. October 25 ): October Revolution in the Russian Republic .
November 8 : The Ukrainian–Soviet War begins.
November 26 : The National Hockey League is formed in Montreal, Canada.
December 6 : Independence of Finland .
",Gaza
119,"January 22 : Ukraine declares independence from Russia.
",Ukraine
119,"January 22 : Ukraine declares independence from Russia.
",Russia
120,"March 11 : Beginning of the Spanish flu pandemic , which lasts until April 1920 and kills tens of millions.
",Spanish
121,"March – July : The German spring offensive .
",German
122,"March 25 : Belarus declares independence from Russia.
",Russia
123,"March 30 : The Armenian–Azerbaijani War begins.
",Armenian
124,"May 28 : Azerbaijan Democratic Republic declared.
July 4 : Mehmed VI becomes the last Sultan of the Ottoman Empire and the last Caliph .
",Azerbaijan
124,"May 28 : Azerbaijan Democratic Republic declared.
July 4 : Mehmed VI becomes the last Sultan of the Ottoman Empire and the last Caliph .
",the Ottoman Empire
126,"August – November : The Hundred Days Offensive sends Germany into defeat.
October : the State of Slovenes, Croats and Serbs is established.
October 29 : German Revolution begins.
October 30 : The Mutawakkilite Kingdom of Yemen founded.",Croats
126,"August – November : The Hundred Days Offensive sends Germany into defeat.
October : the State of Slovenes, Croats and Serbs is established.
October 29 : German Revolution begins.
October 30 : The Mutawakkilite Kingdom of Yemen founded.",The Mutawakkilite Kingdom of Yemen
126,"August – November : The Hundred Days Offensive sends Germany into defeat.
October : the State of Slovenes, Croats and Serbs is established.
October 29 : German Revolution begins.
October 30 : The Mutawakkilite Kingdom of Yemen founded.",German Revolution
126,"August – November : The Hundred Days Offensive sends Germany into defeat.
October : the State of Slovenes, Croats and Serbs is established.
October 29 : German Revolution begins.
October 30 : The Mutawakkilite Kingdom of Yemen founded.",Serbs
126,"August – November : The Hundred Days Offensive sends Germany into defeat.
October : the State of Slovenes, Croats and Serbs is established.
October 29 : German Revolution begins.
October 30 : The Mutawakkilite Kingdom of Yemen founded.",Germany
127,"The Partition of the Ottoman Empire begins.
",Ottoman
128,"The Mutawakkilite Kingdom of Yemen founded.
",The Mutawakkilite Kingdom of Yemen
129,"The Partition of the Ottoman Empire begins.
November 1 : Independence declared in the West Ukrainian People's Republic .",West Ukrainian
130,"The Polish–Ukrainian War begins.
",Polish
131,"Independence declared in the West Ukrainian People's Republic .
",West Ukrainian
132,"The Polish–Ukrainian War begins.
November 9 : Abdication of Wilhelm II .
",Polish
134,"Poland declares independence from Russia.
",Russia
134,"Poland declares independence from Russia.
",Poland
136,"Poland declares independence from Russia.
",Russia
136,"Poland declares independence from Russia.
",Poland
137,"December 1 : The Kingdom of Iceland , a personal union with Denmark, is formed.
",The Kingdom of Iceland
137,"December 1 : The Kingdom of Iceland , a personal union with Denmark, is formed.
",Denmark
138,"The British occupy Palestine .
",British
138,"The British occupy Palestine .
",Palestine
139,"1919
Paris Peace Conference writes Treaty of Versailles that punishes Germany.
",Germany
139,"1919
Paris Peace Conference writes Treaty of Versailles that punishes Germany.
",Paris
140,January 21 : The First Red Scare in the United States.,the United States
142,"February 14 : Polish–Soviet War begins.
",Soviet War
142,"February 14 : Polish–Soviet War begins.
",Polish
143,"March 2 : Communist International established in the Kremlin to coordinate Communist parties worldwide.
April 11 : The International Labour Organization is established.
April 13 : The Jallianwala Bagh massacre in northern India: Acting Brigadier-General Reginald Dyer orders troops of the British Indian Army to fire their rifles into a crowd of unarmed Indian civilians, killing from 379 to 1,000 people and injuring another 1,500.
",Communist
143,"March 2 : Communist International established in the Kremlin to coordinate Communist parties worldwide.
April 11 : The International Labour Organization is established.
April 13 : The Jallianwala Bagh massacre in northern India: Acting Brigadier-General Reginald Dyer orders troops of the British Indian Army to fire their rifles into a crowd of unarmed Indian civilians, killing from 379 to 1,000 people and injuring another 1,500.
",Indian
143,"March 2 : Communist International established in the Kremlin to coordinate Communist parties worldwide.
April 11 : The International Labour Organization is established.
April 13 : The Jallianwala Bagh massacre in northern India: Acting Brigadier-General Reginald Dyer orders troops of the British Indian Army to fire their rifles into a crowd of unarmed Indian civilians, killing from 379 to 1,000 people and injuring another 1,500.
",India
146,"July : The 1919 Egyptian revolution erupts.
July 18 : End of Polish–Ukrainian War .
",Egyptian
146,"July : The 1919 Egyptian revolution erupts.
July 18 : End of Polish–Ukrainian War .
",Polish
147,"August 11 : German Revolution ends with the collapse of the German Empire and the establishment of the Weimar Republic .
November 19 : Release date of Feline Follies , the first appearance of Felix the Cat (then known as Master Tom).
",German
147,"August 11 : German Revolution ends with the collapse of the German Empire and the establishment of the Weimar Republic .
November 19 : Release date of Feline Follies , the first appearance of Felix the Cat (then known as Master Tom).
",the Weimar Republic
150,"1920s
1920
January 10 : League of Nations founded.
January 17 : Prohibition in the United States begins.
",the United States
151,"February 2 : Victory for Estonia in the Estonian War of Independence .
",Estonia
152,"April 25 : Mandatory Palestine established.
April 27 – 28 : Red Army invasion of Azerbaijan and Armenia ends the Armenian–Azerbaijani War and concludes with their incorporation into the Soviet Union.
September 5 : Mahatma Gandhi launches Non-cooperation movement .
",the Soviet Union
